iterations,loss_c,loss_e,total_loss,error_c,error_u,error_v,error_p
190000,4.777657522936352e-06,6.119221779954387e-06,1.089687975763809e-05,0.0005340026,0.003223793,0.019678174,2.731224
191000,4.871338660450419e-06,3.265317673140089e-06,8.136656106216833e-06,3.5346784e-05,0.005640099,0.105894685,2.395311
192000,4.462044216779759e-06,7.72165549278725e-06,1.218370016431436e-05,0.00058639114,0.00881703,0.070105016,2.4476173
193000,4.558617547445465e-06,2.1470918909471948e-06,6.70570943839266e-06,0.0001306748,0.0049928017,0.07778225,2.3923547
194000,4.415759121911833e-06,4.6929453674238175e-06,9.1087040345883e-06,0.00038016753,0.047098275,0.69451636,2.5192456
195000,5.003164460504195e-06,4.905950845568441e-06,9.909115760819986e-06,0.00022631102,0.0063454914,0.020118766,2.856022
196000,4.28923385697999e-06,3.992496203863993e-06,8.281729606096633e-06,0.00092711375,0.04474911,0.6875984,2.520433
197000,4.430235094332602e-06,3.5049315556534566e-06,7.935166649986058e-06,0.00069417537,0.0048284326,0.026056353,2.8349466
198000,4.5303172555577476e-06,7.101385108398972e-06,1.163170236395672e-05,2.532238e-05,0.006957741,0.15728095,2.380014
199000,4.960589649272151e-06,2.8229264898982365e-06,7.783515684423037e-06,0.00062034116,0.0032703604,0.023019783,2.6868975
